timestamp,arbitration_id,message_name,signal_name,value,unit,channel,is_extended_id,direction
1770267699.866618,128,EngineData,RPM,1000,rpm,0,False,rx
1770267699.877101,128,EngineData,RPM,1010,rpm,0,False,rx
1770267699.887806,128,EngineData,RPM,1020,rpm,0,False,rx
1770267699.898113,128,EngineData,RPM,1030,rpm,0,False,rx
1770267699.90859,128,EngineData,RPM,1040,rpm,0,False,rx
1770267699.9191,128,EngineData,RPM,1050,rpm,0,False,rx
1770267699.929651,128,EngineData,RPM,1060,rpm,0,False,rx
1770267699.940024,128,EngineData,RPM,1070,rpm,0,False,rx
1770267699.950782,128,EngineData,RPM,1080,rpm,0,False,rx
1770267699.961081,128,EngineData,RPM,1090,rpm,0,False,rx
1770267699.971643,128,EngineData,RPM,1100,rpm,0,False,rx
1770267699.982305,128,EngineData,RPM,1110,rpm,0,False,rx
1770267699.992929,128,EngineData,RPM,1120,rpm,0,False,rx
1770267700.003413,128,EngineData,RPM,1130,rpm,0,False,rx
1770267700.014406,128,EngineData,RPM,1140,rpm,0,False,rx
1770267700.024912,128,EngineData,RPM,1150,rpm,0,False,rx
1770267700.035661,128,EngineData,RPM,1160,rpm,0,False,rx
1770267700.046568,128,EngineData,RPM,1170,rpm,0,False,rx
1770267700.05725,128,EngineData,RPM,1180,rpm,0,False,rx
1770267700.068025,128,EngineData,RPM,1190,rpm,0,False,rx
1770267700.078391,128,EngineData,RPM,1200,rpm,0,False,rx
1770267700.088792,128,EngineData,RPM,1210,rpm,0,False,rx
1770267700.099398,128,EngineData,RPM,1220,rpm,0,False,rx
1770267700.109922,128,EngineData,RPM,1230,rpm,0,False,rx
1770267700.120507,128,EngineData,RPM,1240,rpm,0,False,rx
1770267700.131114,128,EngineData,RPM,1250,rpm,0,False,rx
1770267700.141836,128,EngineData,RPM,1260,rpm,0,False,rx
1770267700.15222,128,EngineData,RPM,1270,rpm,0,False,rx
1770267700.162719,128,EngineData,RPM,1280,rpm,0,False,rx
1770267700.173211,128,EngineData,RPM,1290,rpm,0,False,rx
1770267700.183785,128,EngineData,RPM,1300,rpm,0,False,rx
1770267700.194536,128,EngineData,RPM,1310,rpm,0,False,rx
1770267700.205029,128,EngineData,RPM,1320,rpm,0,False,rx
1770267700.215565,128,EngineData,RPM,1330,rpm,0,False,rx
1770267700.225818,128,EngineData,RPM,1340,rpm,0,False,rx
1770267700.236205,128,EngineData,RPM,1350,rpm,0,False,rx
1770267700.246814,128,EngineData,RPM,1360,rpm,0,False,rx
1770267700.257374,128,EngineData,RPM,1370,rpm,0,False,rx
1770267700.267773,128,EngineData,RPM,1380,rpm,0,False,rx
1770267700.278198,128,EngineData,RPM,1390,rpm,0,False,rx
1770267700.288735,128,EngineData,RPM,1400,rpm,0,False,rx
1770267700.29925,128,EngineData,RPM,1410,rpm,0,False,rx
1770267700.309767,128,EngineData,RPM,1420,rpm,0,False,rx
1770267700.320089,128,EngineData,RPM,1430,rpm,0,False,rx
1770267700.330929,128,EngineData,RPM,1440,rpm,0,False,rx
1770267700.341372,128,EngineData,RPM,1450,rpm,0,False,rx
1770267700.351965,128,EngineData,RPM,1460,rpm,0,False,rx
1770267700.362695,128,EngineData,RPM,1470,rpm,0,False,rx
1770267700.37302,128,EngineData,RPM,1480,rpm,0,False,rx
1770267700.383715,128,EngineData,RPM,1490,rpm,0,False,rx
1770267700.39503,128,EngineData,RPM,1500,rpm,0,False,rx
1770267700.423599,128,EngineData,RPM,1510,rpm,0,False,rx
1770267700.433972,128,EngineData,RPM,1520,rpm,0,False,rx
1770267700.444431,128,EngineData,RPM,1530,rpm,0,False,rx
1770267700.454995,128,EngineData,RPM,1540,rpm,0,False,rx
1770267700.465611,128,EngineData,RPM,1550,rpm,0,False,rx
1770267700.476046,128,EngineData,RPM,1560,rpm,0,False,rx
1770267700.486582,128,EngineData,RPM,1570,rpm,0,False,rx
1770267700.497085,128,EngineData,RPM,1580,rpm,0,False,rx
